Label (Grouping),Total
ZCTA5 73949,
    Estimate,"1,357"
    Margin of Error,±241
ZCTA5 73960,
    Estimate,33
    Margin of Error,±25
ZCTA5 75001,
    Estimate,"16,287"
    Margin of Error,±200
ZCTA5 75002,
    Estimate,"71,102"
    Margin of Error,"±2,242"
ZCTA5 75006,
    Estimate,"48,104"
    Margin of Error,±506
ZCTA5 75007,
    Estimate,"54,448"
    Margin of Error,"±1,518"
ZCTA5 75009,
    Estimate,"24,737"
    Margin of Error,"±1,882"
ZCTA5 75010,
    Estimate,"30,129"
    Margin of Error,"±1,419"
ZCTA5 75013,
    Estimate,"44,807"
    Margin of Error,"±2,173"
ZCTA5 75019,
    Estimate,"44,324"
    Margin of Error,±501
ZCTA5 75020,
    Estimate,"23,184"
    Margin of Error,±876
ZCTA5 75021,
    Estimate,"9,327"
    Margin of Error,"±1,067"
ZCTA5 75022,
    Estimate,"26,543"
    Margin of Error,"±1,820"
ZCTA5 75023,
    Estimate,"48,586"
    Margin of Error,"±2,187"
ZCTA5 75024,
    Estimate,"43,331"
    Margin of Error,"±1,825"
ZCTA5 75025,
    Estimate,"52,881"
    Margin of Error,"±2,312"
ZCTA5 75028,
    Estimate,"46,934"
    Margin of Error,"±1,555"
ZCTA5 75032,
    Estimate,"35,056"
    Margin of Error,"±1,641"
ZCTA5 75033,
    Estimate,"44,703"
    Margin of Error,"±2,092"
ZCTA5 75034,
    Estimate,"45,759"
    Margin of Error,"±2,246"
ZCTA5 75035,
    Estimate,"81,512"
    Margin of Error,"±1,724"
ZCTA5 75036,
    Estimate,"30,925"
    Margin of Error,"±1,759"
ZCTA5 75038,
    Estimate,"32,128"
    Margin of Error,"±2,505"
ZCTA5 75039,
    Estimate,"22,046"
    Margin of Error,"±1,227"
ZCTA5 75040,
    Estimate,"64,565"
    Margin of Error,"±2,841"
ZCTA5 75041,
    Estimate,"31,451"
    Margin of Error,"±2,406"
ZCTA5 75042,
    Estimate,"38,184"
    Margin of Error,"±1,749"
ZCTA5 75043,
    Estimate,"64,845"
    Margin of Error,"±3,585"
ZCTA5 75044,
    Estimate,"45,895"
    Margin of Error,"±3,189"
ZCTA5 75048,
    Estimate,"26,956"
    Margin of Error,±221
ZCTA5 75050,
    Estimate,"43,422"
    Margin of Error,"±1,966"
ZCTA5 75051,
    Estimate,"39,783"
    Margin of Error,"±2,036"
ZCTA5 75052,
    Estimate,"95,745"
    Margin of Error,"±3,048"
ZCTA5 75054,
    Estimate,"15,820"
    Margin of Error,"±2,118"
ZCTA5 75056,
    Estimate,"64,243"
    Margin of Error,"±1,580"
ZCTA5 75057,
    Estimate,"16,855"
    Margin of Error,"±1,419"
ZCTA5 75058,
    Estimate,"3,369"
    Margin of Error,±653
ZCTA5 75060,
    Estimate,"49,473"
    Margin of Error,"±2,851"
ZCTA5 75061,
    Estimate,"56,959"
    Margin of Error,"±2,044"
ZCTA5 75062,
    Estimate,"51,846"
    Margin of Error,"±2,764"
ZCTA5 75063,
    Estimate,"43,705"
    Margin of Error,"±1,913"
ZCTA5 75065,
    Estimate,"12,549"
    Margin of Error,±177
ZCTA5 75067,
    Estimate,"67,837"
    Margin of Error,"±1,738"
ZCTA5 75068,
    Estimate,"65,880"
    Margin of Error,"±2,598"
ZCTA5 75069,
    Estimate,"37,479"
    Margin of Error,"±1,688"
ZCTA5 75070,
    Estimate,"54,444"
    Margin of Error,"±2,780"
ZCTA5 75071,
    Estimate,"63,828"
    Margin of Error,"±2,484"
ZCTA5 75072,
    Estimate,"54,446"
    Margin of Error,"±2,667"
ZCTA5 75074,
    Estimate,"51,820"
    Margin of Error,"±2,521"
ZCTA5 75075,
    Estimate,"36,221"
    Margin of Error,"±1,810"
ZCTA5 75076,
    Estimate,"8,592"
    Margin of Error,"±1,039"
ZCTA5 75077,
    Estimate,"39,125"
    Margin of Error,"±1,541"
ZCTA5 75078,
    Estimate,"35,939"
    Margin of Error,"±1,340"
ZCTA5 75080,
    Estimate,"52,420"
    Margin of Error,"±1,989"
ZCTA5 75081,
    Estimate,"36,683"
    Margin of Error,"±1,776"
ZCTA5 75082,
    Estimate,"26,801"
    Margin of Error,"±1,238"
ZCTA5 75087,
    Estimate,"39,202"
    Margin of Error,"±1,812"
ZCTA5 75088,
    Estimate,"26,363"
    Margin of Error,"±1,640"
ZCTA5 75089,
    Estimate,"35,203"
    Margin of Error,"±1,602"
ZCTA5 75090,
    Estimate,"24,866"
    Margin of Error,"±1,564"
ZCTA5 75092,
    Estimate,"26,794"
    Margin of Error,"±1,437"
ZCTA5 75093,
    Estimate,"46,868"
    Margin of Error,"±2,466"
ZCTA5 75094,
    Estimate,"23,345"
    Margin of Error,±575
ZCTA5 75098,
    Estimate,"64,326"
    Margin of Error,"±1,521"
ZCTA5 75101,
    Estimate,679
    Margin of Error,±175
ZCTA5 75102,
    Estimate,"1,795"
    Margin of Error,±767
ZCTA5 75103,
    Estimate,"15,900"
    Margin of Error,"±1,169"
ZCTA5 75104,
    Estimate,"49,566"
    Margin of Error,±238
ZCTA5 75105,
    Estimate,207
    Margin of Error,±186
ZCTA5 75109,
    Estimate,"4,288"
    Margin of Error,±555
ZCTA5 75110,
    Estimate,"30,555"
    Margin of Error,±881
ZCTA5 75114,
    Estimate,"6,438"
    Margin of Error,±862
ZCTA5 75115,
    Estimate,"55,879"
    Margin of Error,±151
ZCTA5 75116,
    Estimate,"21,105"
    Margin of Error,"±1,186"
ZCTA5 75117,
    Estimate,"4,753"
    Margin of Error,"±1,006"
ZCTA5 75119,
    Estimate,"28,765"
    Margin of Error,±969
ZCTA5 75124,
    Estimate,"5,205"
    Margin of Error,±967
ZCTA5 75125,
    Estimate,"7,198"
    Margin of Error,"±1,298"
ZCTA5 75126,
    Estimate,"60,232"
    Margin of Error,"±1,893"
ZCTA5 75127,
    Estimate,"1,854"
    Margin of Error,±472
ZCTA5 75132,
    Estimate,0
    Margin of Error,±14
ZCTA5 75134,
    Estimate,"19,341"
    Margin of Error,"±1,377"
ZCTA5 75135,
    Estimate,"8,075"
    Margin of Error,"±1,011"
ZCTA5 75137,
    Estimate,"19,352"
    Margin of Error,"±1,202"
ZCTA5 75140,
    Estimate,"7,365"
    Margin of Error,±726
ZCTA5 75141,
    Estimate,"3,868"
    Margin of Error,±769
ZCTA5 75142,
    Estimate,"22,870"
    Margin of Error,"±1,780"
ZCTA5 75143,
    Estimate,"15,270"
    Margin of Error,"±1,309"
ZCTA5 75144,
    Estimate,"4,030"
    Margin of Error,±478
ZCTA5 75146,
    Estimate,"24,873"
    Margin of Error,"±1,484"
ZCTA5 75147,
    Estimate,"6,922"
    Margin of Error,±809
ZCTA5 75148,
    Estimate,"6,237"
    Margin of Error,±815
ZCTA5 75149,
    Estimate,"59,225"
    Margin of Error,"±2,540"
ZCTA5 75150,
    Estimate,"64,817"
    Margin of Error,"±2,806"
ZCTA5 75152,
    Estimate,"5,686"
    Margin of Error,±835
ZCTA5 75153,
    Estimate,515
    Margin of Error,±280
ZCTA5 75154,
    Estimate,"47,111"
    Margin of Error,"±1,593"
ZCTA5 75155,
    Estimate,"3,167"
    Margin of Error,±447
ZCTA5 75156,
    Estimate,"16,500"
    Margin of Error,"±1,160"
ZCTA5 75157,
    Estimate,209
    Margin of Error,±80
ZCTA5 75158,
    Estimate,"5,496"
    Margin of Error,±865
ZCTA5 75159,
    Estimate,"22,514"
    Margin of Error,±806
ZCTA5 75160,
    Estimate,"24,465"
    Margin of Error,"±1,068"
ZCTA5 75161,
    Estimate,"8,040"
    Margin of Error,"±1,009"
ZCTA5 75163,
    Estimate,"2,450"
    Margin of Error,±397
ZCTA5 75164,
    Estimate,281
    Margin of Error,±102
ZCTA5 75165,
    Estimate,"47,183"
    Margin of Error,"±1,325"
ZCTA5 75166,
    Estimate,"5,589"
    Margin of Error,±302
ZCTA5 75167,
    Estimate,"12,332"
    Margin of Error,"±1,188"
ZCTA5 75169,
    Estimate,"14,496"
    Margin of Error,"±1,166"
ZCTA5 75172,
    Estimate,"5,248"
    Margin of Error,±180
ZCTA5 75173,
    Estimate,"8,298"
    Margin of Error,"±1,266"
ZCTA5 75180,
    Estimate,"26,560"
    Margin of Error,±501
ZCTA5 75181,
    Estimate,"27,336"
    Margin of Error,"±2,585"
ZCTA5 75182,
    Estimate,"7,647"
    Margin of Error,±24
ZCTA5 75189,
    Estimate,"35,243"
    Margin of Error,"±1,663"
ZCTA5 75201,
    Estimate,"17,491"
    Margin of Error,"±1,226"
ZCTA5 75202,
    Estimate,"2,212"
    Margin of Error,±349
ZCTA5 75203,
    Estimate,"16,455"
    Margin of Error,"±2,087"
ZCTA5 75204,
    Estimate,"31,860"
    Margin of Error,"±1,811"
ZCTA5 75205,
    Estimate,"24,804"
    Margin of Error,"±1,083"
ZCTA5 75206,
    Estimate,"38,209"
    Margin of Error,"±2,162"
ZCTA5 75207,
    Estimate,"8,163"
    Margin of Error,"±1,467"
ZCTA5 75208,
    Estimate,"29,941"
    Margin of Error,"±1,690"
ZCTA5 75209,
    Estimate,"14,205"
    Margin of Error,"±1,144"
ZCTA5 75210,
    Estimate,"9,270"
    Margin of Error,"±1,833"
ZCTA5 75211,
    Estimate,"75,213"
    Margin of Error,"±3,362"
ZCTA5 75212,
    Estimate,"26,673"
    Margin of Error,"±2,432"
ZCTA5 75214,
    Estimate,"33,621"
    Margin of Error,"±1,783"
ZCTA5 75215,
    Estimate,"17,960"
    Margin of Error,"±1,524"
ZCTA5 75216,
    Estimate,"55,108"
    Margin of Error,"±2,802"
ZCTA5 75217,
    Estimate,"87,767"
    Margin of Error,"±3,704"
ZCTA5 75218,
    Estimate,"21,355"
    Margin of Error,"±1,487"
ZCTA5 75219,
    Estimate,"24,100"
    Margin of Error,"±1,533"
ZCTA5 75220,
    Estimate,"40,671"
    Margin of Error,"±2,373"
ZCTA5 75223,
    Estimate,"14,270"
    Margin of Error,"±1,265"
ZCTA5 75224,
    Estimate,"36,373"
    Margin of Error,"±2,482"
ZCTA5 75225,
    Estimate,"21,703"
    Margin of Error,"±1,055"
ZCTA5 75226,
    Estimate,"5,133"
    Margin of Error,±691
ZCTA5 75227,
    Estimate,"58,395"
    Margin of Error,"±3,497"
ZCTA5 75228,
    Estimate,"71,450"
    Margin of Error,"±3,657"
ZCTA5 75229,
    Estimate,"32,924"
    Margin of Error,"±1,864"
ZCTA5 75230,
    Estimate,"26,335"
    Margin of Error,"±1,596"
ZCTA5 75231,
    Estimate,"38,823"
    Margin of Error,"±2,370"
ZCTA5 75232,
    Estimate,"33,561"
    Margin of Error,"±2,489"
ZCTA5 75233,
    Estimate,"16,743"
    Margin of Error,"±2,010"
ZCTA5 75234,
    Estimate,"32,728"
    Margin of Error,"±1,061"
ZCTA5 75235,
    Estimate,"19,042"
    Margin of Error,"±1,735"
ZCTA5 75236,
    Estimate,"17,545"
    Margin of Error,"±1,620"
ZCTA5 75237,
    Estimate,"18,823"
    Margin of Error,"±1,501"
ZCTA5 75238,
    Estimate,"31,953"
    Margin of Error,"±1,785"
ZCTA5 75240,
    Estimate,"26,442"
    Margin of Error,"±1,555"
ZCTA5 75241,
    Estimate,"31,749"
    Margin of Error,"±2,445"
ZCTA5 75243,
    Estimate,"65,118"
    Margin of Error,"±2,647"
ZCTA5 75244,
    Estimate,"12,806"
    Margin of Error,"±1,082"
ZCTA5 75246,
    Estimate,"2,307"
    Margin of Error,±532
ZCTA5 75247,
    Estimate,870
    Margin of Error,±242
ZCTA5 75248,
    Estimate,"36,317"
    Margin of Error,"±1,997"
ZCTA5 75249,
    Estimate,"17,629"
    Margin of Error,"±2,891"
ZCTA5 75251,
    Estimate,"3,804"
    Margin of Error,±727
ZCTA5 75252,
    Estimate,"27,310"
    Margin of Error,"±1,077"
ZCTA5 75253,
    Estimate,"24,090"
    Margin of Error,"±3,177"
ZCTA5 75254,
    Estimate,"24,047"
    Margin of Error,"±2,706"
ZCTA5 75261,
    Estimate,0
    Margin of Error,±14
ZCTA5 75270,
    Estimate,0
    Margin of Error,±14
ZCTA5 75287,
    Estimate,"51,855"
    Margin of Error,"±1,037"
ZCTA5 75390,
    Estimate,0
    Margin of Error,±14
ZCTA5 75401,
    Estimate,"21,087"
    Margin of Error,"±1,394"
ZCTA5 75402,
    Estimate,"18,412"
    Margin of Error,"±1,311"
ZCTA5 75407,
    Estimate,"24,864"
    Margin of Error,"±1,033"
ZCTA5 75409,
    Estimate,"20,437"
    Margin of Error,±984
ZCTA5 75410,
    Estimate,"4,470"
    Margin of Error,±612
ZCTA5 75411,
    Estimate,832
    Margin of Error,±388
ZCTA5 75412,
    Estimate,562
    Margin of Error,±202
ZCTA5 75413,
    Estimate,188
    Margin of Error,±86
ZCTA5 75414,
    Estimate,"2,989"
    Margin of Error,±542
ZCTA5 75415,
    Estimate,317
    Margin of Error,±149
ZCTA5 75416,
    Estimate,"2,890"
    Margin of Error,±491
ZCTA5 75417,
    Estimate,"2,479"
    Margin of Error,±348
ZCTA5 75418,
    Estimate,"14,726"
    Margin of Error,±556
ZCTA5 75420,
    Estimate,"1,384"
    Margin of Error,±334
ZCTA5 75421,
    Estimate,851
    Margin of Error,±511
ZCTA5 75422,
    Estimate,"2,862"
    Margin of Error,±610
ZCTA5 75423,
    Estimate,"3,055"
    Margin of Error,±565
ZCTA5 75424,
    Estimate,"3,679"
    Margin of Error,±625
ZCTA5 75426,
    Estimate,"3,774"
    Margin of Error,±250
ZCTA5 75428,
    Estimate,"11,000"
    Margin of Error,±608
ZCTA5 75429,
    Estimate,0
    Margin of Error,±14
ZCTA5 75431,
    Estimate,"1,745"
    Margin of Error,±423
ZCTA5 75432,
    Estimate,"3,055"
    Margin of Error,±234
ZCTA5 75433,
    Estimate,"3,145"
    Margin of Error,±418
ZCTA5 75434,
    Estimate,0
    Margin of Error,±14
ZCTA5 75435,
    Estimate,"1,137"
    Margin of Error,±293
ZCTA5 75436,
    Estimate,"2,155"
    Margin of Error,±339
ZCTA5 75437,
    Estimate,"1,094"
    Margin of Error,±188
ZCTA5 75438,
    Estimate,953
    Margin of Error,±257
ZCTA5 75439,
    Estimate,"1,141"
    Margin of Error,±203
ZCTA5 75440,
    Estimate,"6,665"
    Margin of Error,±602
ZCTA5 75441,
    Estimate,134
    Margin of Error,±97
ZCTA5 75442,
    Estimate,"10,453"
    Margin of Error,±985
ZCTA5 75446,
    Estimate,"3,536"
    Margin of Error,±370
ZCTA5 75447,
    Estimate,"1,067"
    Margin of Error,±238
ZCTA5 75448,
    Estimate,919
    Margin of Error,±222
ZCTA5 75449,
    Estimate,"1,165"
    Margin of Error,±220
ZCTA5 75450,
    Estimate,309
    Margin of Error,±168
ZCTA5 75451,
    Estimate,"1,475"
    Margin of Error,±404
ZCTA5 75452,
    Estimate,"4,688"
    Margin of Error,±458
ZCTA5 75453,
    Estimate,"2,757"
    Margin of Error,±631
ZCTA5 75454,
    Estimate,"15,341"
    Margin of Error,±441
ZCTA5 75455,
    Estimate,"26,687"
    Margin of Error,±683
ZCTA5 75457,
    Estimate,"6,228"
    Margin of Error,±461
ZCTA5 75459,
    Estimate,"5,709"
    Margin of Error,±559
ZCTA5 75460,
    Estimate,"24,287"
    Margin of Error,±952
ZCTA5 75462,
    Estimate,"11,232"
    Margin of Error,±921
ZCTA5 75468,
    Estimate,"1,068"
    Margin of Error,±385
ZCTA5 75469,
    Estimate,346
    Margin of Error,±139
ZCTA5 75470,
    Estimate,202
    Margin of Error,±78
ZCTA5 75471,
    Estimate,"1,932"
    Margin of Error,±529
ZCTA5 75472,
    Estimate,"4,405"
    Margin of Error,±643
ZCTA5 75473,
    Estimate,"3,773"
    Margin of Error,±508
ZCTA5 75474,
    Estimate,"16,394"
    Margin of Error,"±1,245"
ZCTA5 75475,
    Estimate,31
    Margin of Error,±18
ZCTA5 75476,
    Estimate,"1,072"
    Margin of Error,±231
ZCTA5 75477,
    Estimate,"1,100"
    Margin of Error,±370
ZCTA5 75478,
    Estimate,825
    Margin of Error,±221
ZCTA5 75479,
    Estimate,"2,122"
    Margin of Error,±385
ZCTA5 75480,
    Estimate,"1,786"
    Margin of Error,±396
ZCTA5 75481,
    Estimate,401
    Margin of Error,±165
ZCTA5 75482,
    Estimate,"25,220"
    Margin of Error,±685
ZCTA5 75486,
    Estimate,"2,442"
    Margin of Error,±599
ZCTA5 75487,
    Estimate,"1,534"
    Margin of Error,±422
ZCTA5 75488,
    Estimate,798
    Margin of Error,±294
ZCTA5 75489,
    Estimate,939
    Margin of Error,±218
ZCTA5 75490,
    Estimate,"2,891"
    Margin of Error,±455
ZCTA5 75491,
    Estimate,"4,914"
    Margin of Error,±616
ZCTA5 75492,
    Estimate,341
    Margin of Error,±151
ZCTA5 75493,
    Estimate,720
    Margin of Error,±259
ZCTA5 75494,
    Estimate,"10,785"
    Margin of Error,±790
ZCTA5 75495,
    Estimate,"9,208"
    Margin of Error,"±1,056"
ZCTA5 75496,
    Estimate,"3,578"
    Margin of Error,±546
ZCTA5 75497,
    Estimate,"3,623"
    Margin of Error,±559
ZCTA5 75501,
    Estimate,"35,111"
    Margin of Error,"±1,433"
ZCTA5 75503,
    Estimate,"27,361"
    Margin of Error,"±1,346"
ZCTA5 75550,
    Estimate,876
    Margin of Error,±244
ZCTA5 75551,
    Estimate,"11,040"
    Margin of Error,±716
ZCTA5 75554,
    Estimate,"2,078"
    Margin of Error,±430
ZCTA5 75555,
    Estimate,"1,424"
    Margin of Error,±299
ZCTA5 75556,
    Estimate,"1,162"
    Margin of Error,±355
ZCTA5 75558,
    Estimate,"1,958"
    Margin of Error,±546
ZCTA5 75559,
    Estimate,"5,392"
    Margin of Error,±630
ZCTA5 75560,
    Estimate,"1,071"
    Margin of Error,±275
ZCTA5 75561,
    Estimate,"4,626"
    Margin of Error,±448
ZCTA5 75562,
    Estimate,80
    Margin of Error,±95
ZCTA5 75563,
    Estimate,"3,816"
    Margin of Error,±456
ZCTA5 75564,
    Estimate,0
    Margin of Error,±14
ZCTA5 75565,
    Estimate,207
    Margin of Error,±264
ZCTA5 75566,
    Estimate,631
    Margin of Error,±244
ZCTA5 75567,
    Estimate,"4,087"
    Margin of Error,±609
ZCTA5 75568,
    Estimate,"2,873"
    Margin of Error,±522
ZCTA5 75569,
    Estimate,"3,478"
    Margin of Error,±159
ZCTA5 75570,
    Estimate,"11,162"
    Margin of Error,±682
ZCTA5 75571,
    Estimate,"2,367"
    Margin of Error,±484
ZCTA5 75572,
    Estimate,"3,474"
    Margin of Error,±533
ZCTA5 75573,
    Estimate,218
    Margin of Error,±167
ZCTA5 75574,
    Estimate,"1,157"
    Margin of Error,±216
ZCTA5 75601,
    Estimate,"15,683"
    Margin of Error,"±1,285"
ZCTA5 75602,
    Estimate,"21,024"
    Margin of Error,"±1,476"
ZCTA5 75603,
    Estimate,"6,733"
    Margin of Error,±758
ZCTA5 75604,
    Estimate,"30,349"
    Margin of Error,"±1,814"
ZCTA5 75605,
    Estimate,"33,730"
    Margin of Error,"±1,793"
ZCTA5 75630,
    Estimate,"2,306"
    Margin of Error,±394
ZCTA5 75631,
    Estimate,"2,696"
    Margin of Error,±428
ZCTA5 75633,
    Estimate,"12,799"
    Margin of Error,±735
ZCTA5 75638,
    Estimate,"5,001"
    Margin of Error,±533
ZCTA5 75639,
    Estimate,"2,525"
    Margin of Error,±817
ZCTA5 75640,
    Estimate,"5,791"
    Margin of Error,±956
ZCTA5 75641,
    Estimate,88
    Margin of Error,±61
ZCTA5 75642,
    Estimate,53
    Margin of Error,±79
ZCTA5 75643,
    Estimate,"2,138"
    Margin of Error,±377
ZCTA5 75644,
    Estimate,"12,594"
    Margin of Error,±951
ZCTA5 75645,
    Estimate,"10,125"
    Margin of Error,±830
ZCTA5 75647,
    Estimate,"12,405"
    Margin of Error,±835
ZCTA5 75650,
    Estimate,"9,239"
    Margin of Error,"±1,026"
ZCTA5 75651,
    Estimate,"2,101"
    Margin of Error,±615
ZCTA5 75652,
    Estimate,"14,011"
    Margin of Error,"±1,059"
ZCTA5 75654,
    Estimate,"12,945"
    Margin of Error,"±1,101"
ZCTA5 75656,
    Estimate,"4,768"
    Margin of Error,±694
ZCTA5 75657,
    Estimate,"7,366"
    Margin of Error,±455
ZCTA5 75658,
    Estimate,8
    Margin of Error,±13
ZCTA5 75659,
    Estimate,0
    Margin of Error,±14
ZCTA5 75661,
    Estimate,"2,482"
    Margin of Error,±900
ZCTA5 75662,
    Estimate,"25,153"
    Margin of Error,"±1,430"
ZCTA5 75667,
    Estimate,"1,457"
    Margin of Error,±328
ZCTA5 75668,
    Estimate,"2,272"
    Margin of Error,±610
ZCTA5 75669,
    Estimate,"1,124"
    Margin of Error,±595
ZCTA5 75670,
    Estimate,"18,855"
    Margin of Error,"±1,381"
ZCTA5 75671,
    Estimate,0
    Margin of Error,±14
ZCTA5 75672,
    Estimate,"16,700"
    Margin of Error,"±1,468"
ZCTA5 75680,
    Estimate,0
    Margin of Error,±14
ZCTA5 75681,
    Estimate,"2,563"
    Margin of Error,±413
ZCTA5 75682,
    Estimate,667
    Margin of Error,±246
ZCTA5 75683,
    Estimate,"3,998"
    Margin of Error,±702
ZCTA5 75684,
    Estimate,"7,558"
    Margin of Error,±839
ZCTA5 75686,
    Estimate,"13,396"
    Margin of Error,±666
ZCTA5 75687,
    Estimate,0
    Margin of Error,±14
ZCTA5 75689,
    Estimate,213
    Margin of Error,±157
ZCTA5 75691,
    Estimate,"4,465"
    Margin of Error,±705
ZCTA5 75692,
    Estimate,"4,698"
    Margin of Error,±653
ZCTA5 75693,
    Estimate,"6,353"
    Margin of Error,±313
ZCTA5 75694,
    Estimate,0
    Margin of Error,±14
ZCTA5 75701,
    Estimate,"34,296"
    Margin of Error,"±1,653"
ZCTA5 75702,
    Estimate,"28,236"
    Margin of Error,"±1,841"
ZCTA5 75703,
    Estimate,"42,414"
    Margin of Error,"±2,064"
ZCTA5 75704,
    Estimate,"9,575"
    Margin of Error,"±1,302"
ZCTA5 75705,
    Estimate,"2,722"
    Margin of Error,"±1,086"
ZCTA5 75706,
    Estimate,"10,142"
    Margin of Error,"±1,687"
ZCTA5 75707,
    Estimate,"14,455"
    Margin of Error,"±1,597"
ZCTA5 75708,
    Estimate,"10,419"
    Margin of Error,"±1,611"
ZCTA5 75709,
    Estimate,"4,596"
    Margin of Error,±962
ZCTA5 75711,
    Estimate,219
    Margin of Error,±152
ZCTA5 75750,
    Estimate,"3,644"
    Margin of Error,±549
ZCTA5 75751,
    Estimate,"17,098"
    Margin of Error,±917
ZCTA5 75752,
    Estimate,"7,450"
    Margin of Error,±972
ZCTA5 75754,
    Estimate,"7,961"
    Margin of Error,"±1,041"
ZCTA5 75755,
    Estimate,"4,576"
    Margin of Error,±716
ZCTA5 75756,
    Estimate,"4,403"
    Margin of Error,±725
ZCTA5 75757,
    Estimate,"13,699"
    Margin of Error,"±1,537"
ZCTA5 75758,
    Estimate,"9,726"
    Margin of Error,±934
ZCTA5 75759,
    Estimate,110
    Margin of Error,±93
ZCTA5 75760,
    Estimate,"2,481"
    Margin of Error,±500
ZCTA5 75762,
    Estimate,"14,609"
    Margin of Error,"±1,715"
ZCTA5 75763,
    Estimate,"6,507"
    Margin of Error,±911
ZCTA5 75764,
    Estimate,208
    Margin of Error,±90
ZCTA5 75765,
    Estimate,"7,705"
    Margin of Error,±803
ZCTA5 75766,
    Estimate,"25,577"
    Margin of Error,"±1,077"
ZCTA5 75770,
    Estimate,"2,517"
    Margin of Error,±496
ZCTA5 75771,
    Estimate,"21,260"
    Margin of Error,"±1,677"
ZCTA5 75773,
    Estimate,"13,478"
    Margin of Error,"±1,012"
ZCTA5 75778,
    Estimate,"2,443"
    Margin of Error,±561
ZCTA5 75779,
    Estimate,0
    Margin of Error,±14
ZCTA5 75780,
    Estimate,362
    Margin of Error,±160
ZCTA5 75782,
    Estimate,33
    Margin of Error,±32
ZCTA5 75783,
    Estimate,"8,316"
    Margin of Error,±712
ZCTA5 75784,
    Estimate,768
    Margin of Error,±313
ZCTA5 75785,
    Estimate,"10,813"
    Margin of Error,±598
ZCTA5 75788,
    Estimate,28
    Margin of Error,±46
ZCTA5 75789,
    Estimate,"8,919"
    Margin of Error,"±1,201"
ZCTA5 75790,
    Estimate,"3,383"
    Margin of Error,±259
ZCTA5 75791,
    Estimate,"14,093"
    Margin of Error,"±1,011"
ZCTA5 75792,
    Estimate,"3,134"
    Margin of Error,±876
ZCTA5 75801,
    Estimate,"15,740"
    Margin of Error,"±1,113"
ZCTA5 75803,
    Estimate,"21,941"
    Margin of Error,"±1,755"
ZCTA5 75831,
    Estimate,"4,981"
    Margin of Error,±657
ZCTA5 75833,
    Estimate,"2,223"
    Margin of Error,±385
ZCTA5 75835,
    Estimate,"11,597"
    Margin of Error,±597
ZCTA5 75838,
    Estimate,457
    Margin of Error,±265
ZCTA5 75839,
    Estimate,"6,001"
    Margin of Error,±909
ZCTA5 75840,
    Estimate,"6,504"
    Margin of Error,±571
ZCTA5 75844,
    Estimate,"4,622"
    Margin of Error,±567
ZCTA5 75845,
    Estimate,"2,105"
    Margin of Error,±386
ZCTA5 75846,
    Estimate,"2,786"
    Margin of Error,±495
ZCTA5 75847,
    Estimate,"1,635"
    Margin of Error,±348
ZCTA5 75848,
    Estimate,90
    Margin of Error,±48
ZCTA5 75849,
    Estimate,106
    Margin of Error,±46
ZCTA5 75850,
    Estimate,"1,544"
    Margin of Error,±476
ZCTA5 75851,
    Estimate,"4,956"
    Margin of Error,±726
ZCTA5 75852,
    Estimate,"3,306"
    Margin of Error,±694
ZCTA5 75853,
    Estimate,775
    Margin of Error,±338
