NAME,Industry,Year,Total Employed
"Houston city, Texas",Agriculture,2022,24439
"Bakersfield city, California",Agriculture,2022,15802
"Midland city, Texas",Agriculture,2022,13621
"Oxnard city, California",Agriculture,2022,12883
"Salinas city, California",Agriculture,2022,11190
"Santa Maria city, California",Agriculture,2022,9037
"Fresno city, California",Agriculture,2022,8625
"Oklahoma City city, Oklahoma",Agriculture,2022,8391
"Los Angeles city, California",Agriculture,2022,7260
"Delano city, California",Agriculture,2022,6458
"Odessa city, Texas",Agriculture,2022,5577
"San Antonio city, Texas",Agriculture,2022,5305
"Madera city, California",Agriculture,2022,4902
"Porterville city, California",Agriculture,2022,4735
"Salem city, Oregon",Agriculture,2022,4600
"Denver city, Colorado",Agriculture,2022,4396
"Stockton city, California",Agriculture,2022,4355
"Yakima city, Washington",Agriculture,2022,4174
"Phoenix city, Arizona",Agriculture,2022,4159
"Laredo city, Texas",Agriculture,2022,4085
"New York city, New York",Construction,2022,194970
"Los Angeles city, California",Construction,2022,133402
"Houston city, Texas",Construction,2022,131472
"Phoenix city, Arizona",Construction,2022,71545
"Dallas city, Texas",Construction,2022,70617
"San Antonio city, Texas",Construction,2022,63680
"Chicago city, Illinois",Construction,2022,50507
"Charlotte city, North Carolina",Construction,2022,39871
"Fort Worth city, Texas",Construction,2022,35841
"San Diego city, California",Construction,2022,34381
"Jacksonville city, Florida",Construction,2022,34245
"Miami city, Florida",Construction,2022,30924
"Austin city, Texas",Construction,2022,30328
"Indianapolis city (balance), Indiana",Construction,2022,29473
"San Jose city, California",Construction,2022,29066
"Denver city, Colorado",Construction,2022,28401
"Philadelphia city, Pennsylvania",Construction,2022,27607
"Oklahoma City city, Oklahoma",Construction,2022,26637
"Las Vegas city, Nevada",Construction,2022,24278
"Mesa city, Arizona",Construction,2022,23258
"Los Angeles city, California",Manufacturing,2022,138065
"New York city, New York",Manufacturing,2022,113263
"Chicago city, Illinois",Manufacturing,2022,102217
"Houston city, Texas",Manufacturing,2022,86507
"San Jose city, California",Manufacturing,2022,86121
"San Diego city, California",Manufacturing,2022,69546
"Phoenix city, Arizona",Manufacturing,2022,56466
"Indianapolis city (balance), Indiana",Manufacturing,2022,47016
"Fort Worth city, Texas",Manufacturing,2022,46098
"Dallas city, Texas",Manufacturing,2022,45980
"Austin city, Texas",Manufacturing,2022,42148
"Milwaukee city, Wisconsin",Manufacturing,2022,41877
"Philadelphia city, Pennsylvania",Manufacturing,2022,40728
"Louisville/Jefferson County metro government (balance), Kentucky",Manufacturing,2022,40319
"San Antonio city, Texas",Manufacturing,2022,40084
"Detroit city, Michigan",Manufacturing,2022,38440
"Charlotte city, North Carolina",Manufacturing,2022,38306
"Columbus city, Ohio",Manufacturing,2022,36941
"Portland city, Oregon",Manufacturing,2022,32427
"Wichita city, Kansas",Manufacturing,2022,32156
"New York city, New York",Wholesale,2022,64281
"Los Angeles city, California",Wholesale,2022,44270
"Chicago city, Illinois",Wholesale,2022,27751
"Houston city, Texas",Wholesale,2022,27300
"Dallas city, Texas",Wholesale,2022,17787
"Phoenix city, Arizona",Wholesale,2022,16305
"San Antonio city, Texas",Wholesale,2022,14257
"Philadelphia city, Pennsylvania",Wholesale,2022,14117
"Columbus city, Ohio",Wholesale,2022,12811
"Fort Worth city, Texas",Wholesale,2022,11980
"San Diego city, California",Wholesale,2022,11405
"Louisville/Jefferson County metro government (balance), Kentucky",Wholesale,2022,10452
"Jacksonville city, Florida",Wholesale,2022,10434
"Indianapolis city (balance), Indiana",Wholesale,2022,10257
"Charlotte city, North Carolina",Wholesale,2022,8524
"Austin city, Texas",Wholesale,2022,8174
"Portland city, Oregon",Wholesale,2022,8006
"Oklahoma City city, Oklahoma",Wholesale,2022,7901
"Nashville-Davidson metropolitan government (balance), Tennessee",Wholesale,2022,7710
"Arlington city, Texas",Wholesale,2022,7594
"New York city, New York",Retail,2022,362662
"Los Angeles city, California",Retail,2022,196369
"Houston city, Texas",Retail,2022,125409
"Chicago city, Illinois",Retail,2022,124498
"Phoenix city, Arizona",Retail,2022,105292
"San Antonio city, Texas",Retail,2022,84745
"Philadelphia city, Pennsylvania",Retail,2022,75309
"Dallas city, Texas",Retail,2022,73676
"San Diego city, California",Retail,2022,65246
"Jacksonville city, Florida",Retail,2022,62090
"Austin city, Texas",Retail,2022,60614
"Seattle city, Washington",Retail,2022,60450
"Fort Worth city, Texas",Retail,2022,60161
"Columbus city, Ohio",Retail,2022,56370
"Indianapolis city (balance), Indiana",Retail,2022,53138
"San Jose city, California",Retail,2022,49145
"Charlotte city, North Carolina",Retail,2022,48642
"Oklahoma City city, Oklahoma",Retail,2022,42700
"Nashville-Davidson metropolitan government (balance), Tennessee",Retail,2022,41720
"Denver city, Colorado",Retail,2022,40983
"New York city, New York",Transportation,2022,281079
"Los Angeles city, California",Transportation,2022,107301
"Chicago city, Illinois",Transportation,2022,105183
"Houston city, Texas",Transportation,2022,83181
"Phoenix city, Arizona",Transportation,2022,57540
"Dallas city, Texas",Transportation,2022,48527
"Fort Worth city, Texas",Transportation,2022,47368
"Memphis city, Tennessee",Transportation,2022,46200
"Philadelphia city, Pennsylvania",Transportation,2022,44650
"Columbus city, Ohio",Transportation,2022,41203
"Charlotte city, North Carolina",Transportation,2022,39995
"Indianapolis city (balance), Indiana",Transportation,2022,39185
"San Antonio city, Texas",Transportation,2022,37964
"Jacksonville city, Florida",Transportation,2022,37703
"Louisville/Jefferson County metro government (balance), Kentucky",Transportation,2022,32389
"San Diego city, California",Transportation,2022,29907
"Austin city, Texas",Transportation,2022,24502
"Nashville-Davidson metropolitan government (balance), Tennessee",Transportation,2022,22689
"San Francisco city, California",Transportation,2022,22592
"Denver city, Colorado",Transportation,2022,21706
"New York city, New York",Information,2022,165682
"Los Angeles city, California",Information,2022,130212
"Seattle city, Washington",Information,2022,32982
"Chicago city, Illinois",Information,2022,29720
"San Francisco city, California",Information,2022,28320
"San Jose city, California",Information,2022,27638
"Austin city, Texas",Information,2022,22151
"Denver city, Colorado",Information,2022,16823
"San Diego city, California",Information,2022,16369
"Washington city, District of Columbia",Information,2022,15429
"Dallas city, Texas",Information,2022,15306
"Nashville-Davidson metropolitan government (balance), Tennessee",Information,2022,13424
"Phoenix city, Arizona",Information,2022,12824
"Sunnyvale city, California",Information,2022,12433
"Atlanta city, Georgia",Information,2022,12204
"San Antonio city, Texas",Information,2022,11936
"Philadelphia city, Pennsylvania",Information,2022,11456
"Houston city, Texas",Information,2022,11431
"Oakland city, California",Information,2022,11301
"Portland city, Oregon",Information,2022,10522
"New York city, New York",Finance and Real Estate,2022,373328
"Chicago city, Illinois",Finance and Real Estate,2022,128461
"Los Angeles city, California",Finance and Real Estate,2022,110895
"Phoenix city, Arizona",Finance and Real Estate,2022,85216
"Charlotte city, North Carolina",Finance and Real Estate,2022,77378
"Houston city, Texas",Finance and Real Estate,2022,70158
"Dallas city, Texas",Finance and Real Estate,2022,67818
"San Antonio city, Texas",Finance and Real Estate,2022,58607
"Jacksonville city, Florida",Finance and Real Estate,2022,54426
"Philadelphia city, Pennsylvania",Finance and Real Estate,2022,51389
"Columbus city, Ohio",Finance and Real Estate,2022,46996
"Austin city, Texas",Finance and Real Estate,2022,46781
"San Diego city, California",Finance and Real Estate,2022,45084
"San Francisco city, California",Finance and Real Estate,2022,41043
"Fort Worth city, Texas",Finance and Real Estate,2022,39578
"Denver city, Colorado",Finance and Real Estate,2022,35935
"Boston city, Massachusetts",Finance and Real Estate,2022,35652
"Nashville-Davidson metropolitan government (balance), Tennessee",Finance and Real Estate,2022,32989
"Indianapolis city (balance), Indiana",Finance and Real Estate,2022,28295
"Miami city, Florida",Finance and Real Estate,2022,26803
"New York city, New York","Professional, scientific, and management, and administrative and waste management services",2022,603458
"Los Angeles city, California","Professional, scientific, and management, and administrative and waste management services",2022,313585
"Chicago city, Illinois","Professional, scientific, and management, and administrative and waste management services",2022,252738
"Houston city, Texas","Professional, scientific, and management, and administrative and waste management services",2022,185635
"Austin city, Texas","Professional, scientific, and management, and administrative and waste management services",2022,140354
"San Diego city, California","Professional, scientific, and management, and administrative and waste management services",2022,133732
"San Francisco city, California","Professional, scientific, and management, and administrative and waste management services",2022,127096
"Phoenix city, Arizona","Professional, scientific, and management, and administrative and waste management services",2022,122150
"Dallas city, Texas","Professional, scientific, and management, and administrative and waste management services",2022,113261
"Seattle city, Washington","Professional, scientific, and management, and administrative and waste management services",2022,110496
"San Jose city, California","Professional, scientific, and management, and administrative and waste management services",2022,105842
"Philadelphia city, Pennsylvania","Professional, scientific, and management, and administrative and waste management services",2022,98783
"Denver city, Colorado","Professional, scientific, and management, and administrative and waste management services",2022,94099
