Zip,City,County,Latitude,Longitude,2018,2019,2020,2021,2022
76092,Southlake,Tarrant,32.95562,-97.14879,2.55,1.67,1.31,-1.76,-0.2
76116,Fort Worth,Tarrant,32.72128,-97.44766,1.71,-0.26,-0.27,-2.09,-0.18
76528,Gatesville,Coryell,31.43589,-97.7844,0.7,2.73,11.22,0.68,-0.17
78644,Lockhart,Caldwell,29.87111,-97.67292,-0.07,0.63,-3.89,13.83,-0.15
77611,Bridge City,Orange,30.01259,-93.8222,3.7,-0.64,0.35,14.18,-0.15
75227,Dallas,Dallas,32.77044,-96.68831,2.06,1.57,1.18,-3.69,-0.14
79761,Odessa,Ector,31.85603,-102.3485,0.11,-1.05,1.05,-7.04,-0.14
77064,Houston,Harris,29.92279,-95.5467,0.43,-2.32,0.83,0.54,-0.13
76801,Brownwood,Brown,31.75471,-99.05462,1.61,-1.22,-1.5,1.81,-0.13
79005,Booker,Lipscomb,36.3874,-100.50627,-0.85,4.58,-6.07,3.79,-0.12
75229,Dallas,Dallas,32.8939,-96.86517,-1.85,1.67,1.29,0.57,-0.12
77808,Bryan,Brazos,30.78965,-96.31362,10.07,0.6,1.96,19.89,-0.12
78645,Leander,Travis,30.4502,-97.96934,5.13,2.89,2.54,20.95,-0.11
78578,Port Isabel,Cameron,26.05336,-97.31004,-0.43,0.81,-2.23,-8.32,-0.1
77070,Houston,Harris,29.97783,-95.57377,4.23,-0.34,6.04,3.91,-0.09
75006,Carrollton,Dallas,32.96165,-96.89717,0.69,0.99,1.14,-7.9,-0.09
78550,Harlingen,Cameron,26.25469,-97.66406,-1.0,0.82,-1.18,4.74,-0.08
75251,Dallas,Dallas,32.91984,-96.77308,1.94,18.52,31.07,1.44,-0.08
78357,Freer,Duval,27.93286,-98.5629,-1.55,0.66,-6.62,4.6,-0.07
75847,Kennard,Houston,31.35204,-95.13564,4.09,-0.7,-5.32,-6.3,-0.06
76834,Coleman,Coleman,31.87885,-99.46843,-0.39,-0.34,1.13,-6.98,-0.06
78045,Laredo,Webb,27.83197,-99.65963,1.97,1.07,1.94,-0.37,-0.06
79936,El Paso,El Paso,31.77373,-106.29631,0.39,-0.65,-2.64,-1.0,-0.06
75216,Dallas,Dallas,32.71158,-96.78256,2.37,-1.52,1.74,1.58,-0.04
78852,Eagle Pass,Maverick,28.82698,-100.31543,1.72,0.56,0.0,-0.72,-0.0
