GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
8600000US00601,ZCTA5 00601,17599,261
8600000US00602,ZCTA5 00602,39209,128
8600000US00603,ZCTA5 00603,50135,805
8600000US00606,ZCTA5 00606,6304,255
8600000US00610,ZCTA5 00610,27590,163
8600000US00612,ZCTA5 00612,62566,1480
8600000US00616,ZCTA5 00616,10687,1192
8600000US00617,ZCTA5 00617,24508,296
8600000US00622,ZCTA5 00622,7405,1118
8600000US00623,ZCTA5 00623,42321,1118
8600000US00624,ZCTA5 00624,23238,382
8600000US00627,ZCTA5 00627,32936,*****
8600000US00631,ZCTA5 00631,1555,332
8600000US00637,ZCTA5 00637,23610,*****
8600000US00638,ZCTA5 00638,17202,410
8600000US00641,ZCTA5 00641,28332,430
8600000US00646,ZCTA5 00646,38008,188
8600000US00647,ZCTA5 00647,5610,639
8600000US00650,ZCTA5 00650,14664,645
8600000US00652,ZCTA5 00652,3681,542
8600000US00653,ZCTA5 00653,11717,639
8600000US00656,ZCTA5 00656,19546,48
8600000US00659,ZCTA5 00659,40978,*****
8600000US00660,ZCTA5 00660,16474,*****
8600000US00662,ZCTA5 00662,41341,501
8600000US00664,ZCTA5 00664,15396,123
8600000US00667,ZCTA5 00667,24089,121
8600000US00669,ZCTA5 00669,26510,260
8600000US00670,ZCTA5 00670,8797,159
8600000US00674,ZCTA5 00674,40826,267
8600000US00676,ZCTA5 00676,37862,103
8600000US00677,ZCTA5 00677,14569,70
8600000US00678,ZCTA5 00678,26642,553
8600000US00680,ZCTA5 00680,48035,1487
8600000US00682,ZCTA5 00682,32820,1417
8600000US00683,ZCTA5 00683,31627,428
8600000US00685,ZCTA5 00685,38849,321
8600000US00687,ZCTA5 00687,31785,*****
8600000US00688,ZCTA5 00688,12360,921
8600000US00690,ZCTA5 00690,5587,805
8600000US00692,ZCTA5 00692,36218,724
8600000US00693,ZCTA5 00693,56327,681
8600000US00694,ZCTA5 00694,88,84
8600000US00698,ZCTA5 00698,37493,138
8600000US00703,ZCTA5 00703,27137,639
8600000US00704,ZCTA5 00704,7842,977
8600000US00705,ZCTA5 00705,23831,191
8600000US00707,ZCTA5 00707,11240,93
8600000US00714,ZCTA5 00714,18363,141
8600000US00715,ZCTA5 00715,3645,720
8600000US00716,ZCTA5 00716,29191,1617
8600000US00717,ZCTA5 00717,17285,1354
8600000US00718,ZCTA5 00718,26073,595
8600000US00719,ZCTA5 00719,29684,330
8600000US00720,ZCTA5 00720,21753,193
8600000US00723,ZCTA5 00723,17826,93
8600000US00725,ZCTA5 00725,82822,2123
8600000US00727,ZCTA5 00727,56023,1939
8600000US00728,ZCTA5 00728,40326,1690
8600000US00729,ZCTA5 00729,52244,599
8600000US00730,ZCTA5 00730,32735,1591
8600000US00731,ZCTA5 00731,13862,1176
8600000US00735,ZCTA5 00735,12749,595
8600000US00736,ZCTA5 00736,48476,743
8600000US00738,ZCTA5 00738,31558,352
8600000US00739,ZCTA5 00739,37380,618
8600000US00740,ZCTA5 00740,1517,352
8600000US00741,ZCTA5 00741,5168,700
8600000US00745,ZCTA5 00745,52624,283
8600000US00751,ZCTA5 00751,22174,943
8600000US00754,ZCTA5 00754,38636,62
8600000US00757,ZCTA5 00757,22475,*****
8600000US00765,ZCTA5 00765,8721,162
8600000US00766,ZCTA5 00766,23931,134
8600000US00767,ZCTA5 00767,35042,27
8600000US00769,ZCTA5 00769,39605,122
8600000US00771,ZCTA5 00771,37705,306
8600000US00772,ZCTA5 00772,20784,512
8600000US00773,ZCTA5 00773,18952,*****
8600000US00775,ZCTA5 00775,1480,262
8600000US00777,ZCTA5 00777,40611,485
8600000US00778,ZCTA5 00778,46852,353
8600000US00780,ZCTA5 00780,11679,1251
8600000US00782,ZCTA5 00782,18196,442
8600000US00783,ZCTA5 00783,34240,354
8600000US00784,ZCTA5 00784,41417,275
8600000US00786,ZCTA5 00786,249,187
8600000US00791,ZCTA5 00791,49551,702
8600000US00794,ZCTA5 00794,29296,92
8600000US00795,ZCTA5 00795,45573,587
8600000US00901,ZCTA5 00901,6540,675
8600000US00906,ZCTA5 00906,91,57
8600000US00907,ZCTA5 00907,16819,1166
8600000US00909,ZCTA5 00909,5430,653
8600000US00911,ZCTA5 00911,7617,784
8600000US00912,ZCTA5 00912,5920,614
8600000US00913,ZCTA5 00913,8495,870
8600000US00915,ZCTA5 00915,27534,1384
8600000US00917,ZCTA5 00917,18316,1163
8600000US00918,ZCTA5 00918,16595,1305
8600000US00920,ZCTA5 00920,16698,1082
8600000US00921,ZCTA5 00921,35161,1888
8600000US00923,ZCTA5 00923,24754,1550
8600000US00924,ZCTA5 00924,51699,2309
8600000US00925,ZCTA5 00925,6796,894
